case,project,file,file_name,type,name,complexity,radon_grade,radon_grade_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/proxytest.py,proxytest.py,function,add_proxies_to_file,5,A,1,12,40,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/proxytest.py,proxytest.py,function,test_proxy,5,A,1,43,75,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/proxytest.py,proxytest.py,function,test_csv_file,3,A,1,86,103,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/proxytest.py,proxytest.py,function,add_from_text_file,3,A,1,106,119,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/proxytest.py,proxytest.py,function,test_single_proxy,1,A,1,78,83,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/cli.py,cli.py,function,validate_proxy,2,A,1,10,20,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/cli.py,cli.py,function,cli,1,A,1,24,25,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/cli.py,cli.py,function,single,1,A,1,33,34,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/cli.py,cli.py,function,csv_file,1,A,1,41,42,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/cli_proxy_tester/cli.py,cli.py,function,add_from_txt_file,1,A,1,50,51,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/telegram_bot/main.py,main.py,function,coin,2,A,1,32,43,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/telegram_bot/main.py,main.py,function,error_callback,1,A,1,15,16,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/telegram_bot/main.py,main.py,function,start,1,A,1,19,29,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/telegram_bot/main.py,main.py,function,main,1,A,1,46,69,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/EasyVideoPlayer/EasyVideoPlayer.py,EasyVideoPlayer.py,function,PlayVideo,6,B,2,40,57,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/EasyVideoPlayer/EasyVideoPlayer.py,EasyVideoPlayer.py,function,find_the_video,4,A,1,15,24,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/download GeeksForGeeks articles/downloader.py,downloader.py,function,get_driver,1,A,1,12,32,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/download GeeksForGeeks articles/downloader.py,downloader.py,function,download_article,1,A,1,35,41,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Currency_converter/cc.py,cc.py,function,function1,3,A,1,196,211,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Split_File/split_files.py,split_files.py,class,Split_Files,5,A,1,6,50,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Split_File/split_files.py,split_files.py,method,split_data,5,A,1,28,50,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Split_File/split_files.py,split_files.py,method,__init__,3,A,1,10,26,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
